MatchNumber,RoundNumber,Date,Location,HomeTeam,AwayTeam,Result
233,24,16/02/2020 18:00,Sardegna Arena,Cagliari,Napoli,0 - 1
235,24,16/02/2020 20:45,Stadio Olimpico,Lazio,Inter,2 - 1
237,24,17/02/2020 20:45,San Siro,Milan,Torino,1 - 0
243,25,21/02/2020 20:45,Stadio Mario Rigamonti,Brescia,Napoli,1 - 2
242,25,22/02/2020 15:00,Stadio Renato Dall'Ara,Bologna,Udinese,1 - 1
249,25,22/02/2020 18:00,Stadio Paolo Mazza,Spal,Juventus,1 - 2
244,25,22/02/2020 20:45,Stadio Artemio Franchi,Fiorentina,Milan,1 - 1
245,25,23/02/2020 12:30,Stadio Luigi Ferraris,Genoa,Lazio,2 - 3
248,25,23/02/2020 18:00,Stadio Olimpico,Roma,Lecce,4 - 0
252,26,29/02/2020 15:00,Stadio Olimpico,Lazio,Bologna,2 - 0
255,26,29/02/2020 20:45,Stadio San Paolo,Napoli,Torino,2 - 1
