MatchNumber,RoundNumber,Date,Location,HomeTeam,AwayTeam,Result
368,37,29/07/2020 21:45,Stadio Olimpico Grande Torino,Torino,Roma,2 - 3
373,38,01/08/2020 18:00,Stadio Mario Rigamonti,Brescia,Sampdoria,1 - 1
371,38,01/08/2020 20:45,Gewiss Stadium,Atalanta,Inter,0 - 2
376,38,01/08/2020 20:45,San Siro,Milan,Cagliari,3 - 0
377,38,01/08/2020 20:45,Stadio San Paolo,Napoli,Lazio,3 - 1
380,38,01/08/2020 20:45,Allianz Stadium,Juventus,Roma,1 - 3
379,38,02/08/2020 18:00,Stadio Paolo Mazza,Spal,Fiorentina,1 - 3
372,38,02/08/2020 20:45,Stadio Renato Dall'Ara,Bologna,Torino,1 - 1
374,38,02/08/2020 20:45,Stadio Luigi Ferraris,Genoa,Hellas Verona,3 - 0
375,38,02/08/2020 20:45,Stadio Via del Mare,Lecce,Parma,3 - 4
378,38,02/08/2020 20:45,Mapei Stadium,Sassuolo,Udinese,0 - 1
